"ROW_ID","ID","STATE_NAME","CNTY_NAME","NC_REGION","ACSTOTPOP","PEOPCOLORPCT","LOWINCPCT","UNEMPPCT","LINGISOPCT","LESSHSPCT","UNDER5PCT","OVER64PCT","LIFEEXPPCT","PM25","OZONE","DSLPM","CANCER","RESP","RSEI_AIR","PTRAF","PRE1960PCT","PNPL","PRMP","PTSDF","UST","AREALAND","AREAWATER"
19,"370010205011","North Carolina","Alamance County","Piedmont",2636,30.0834598,45.6373293,4.1907514,2.8121485,13.1752306,6.5629742,8.952959,21.2307692,7.848759123,60.53102,0.16467449,30,0.3,440.2506367,29.73314026,36.7577757,0.017129254,0.105713504,0.771548397,5.745886711,5019463,24554
20,"370010205012","North Carolina","Alamance County","Piedmont",1224,24.5915033,22.5490196,4.9152542,2.7334852,13.4310134,4.5751634,20.8333333,21.2307692,7.848759123,60.53102,0.16467449,30,0.3,475.2500627,32.37831593,27.5789474,0.016914688,0.114164095,1.053289577,11.80017996,2118679,53515
21,"370010205021","North Carolina","Alamance County","Piedmont",3032,75.2968338,48.6308149,9.9834984,2.3785927,23.0515192,16.6556728,5.8047493,23.5897436,7.845077671,60.43198,0.177963611,30,0.4,270.8045769,8.647876603,16.6666667,0.017647637,0.1449583,0.268265877,9.381027753,3471112,41447
22,"370010205022","North Carolina","Alamance County","Piedmont",386,57.253886,61.878453,3.8961039,2.739726,47.9289941,0.2590674,29.7927461,23.5897436,7.845077671,60.43198,0.177963611,30,0.4,235.2918684,201.5549838,45.5223881,0.017641729,0.177250949,0.228329568,20.50006632,642411,0
23,"370010205023","North Carolina","Alamance County","Piedmont",923,84.8320693,25,6.6666667,12.2186495,11.965812,5.3087757,7.3672806,23.5897436,7.845077671,60.43198,0.177963611,30,0.4,345.2265732,36.66365983,43.4083601,0.017395887,0.140803225,0.353582817,21.18677566,1307969,9791
24,"370010206011","North Carolina","Alamance County","Piedmont",914,13.0196937,9.190372,0,0,0.5563282,0,34.463895,14.4615385,7.875109068,60.64455,0.220169594,30,0.4,485.5091609,27.68413097,14.0280561,0.016649902,0.110434012,1.48395868,5.168245951,1715591,2466
25,"370010206012","North Carolina","Alamance County","Piedmont",1065,8.3568075,1.8779343,0,0,2.1907216,8.0751174,23.8497653,14.4615385,7.875109068,60.64455,0.220169594,30,0.4,497.8650266,59.20049731,13.7019231,0.01626703,0.097178938,1.27235894,3.706223229,1967938,6974
26,"370010206013","North Carolina","Alamance County","Piedmont",1255,1.0358566,12.1912351,2.21843,0,1.3251784,7.9681275,34.1832669,14.4615385,7.875109068,60.64455,0.220169594,30,0.4,469.0386461,121.3464966,13.136289,0.016493331,0.110659073,1.002093331,9.389186733,1879170,21790
27,"370010206021","North Carolina","Alamance County","Piedmont",625,34.88,57.6,6.8627451,0,2.3195876,0,13.76,19.0769231,7.867119178,60.56376,0.226556626,30,0.4,427.4354294,37.53023226,72.0136519,0.017239713,0.136824236,0.3698257,32.23818279,471952,0
28,"370010206022","North Carolina","Alamance County","Piedmont",2003,4.2436345,15.3806584,0,0,4.1149575,0,42.3864204,19.0769231,7.867119178,60.56376,0.226556626,30,0.4,452.1893452,44.44667334,49.5327103,0.016986125,0.130405885,0.595879161,8.565814774,2314653,40195
29,"370010207011","North Carolina","Alamance County","Piedmont",1216,29.4407895,43.7869823,10.0371747,2.0440252,13.6150235,0,18.9144737,18.2564103,7.884666575,60.64487,0.235685562,40,0.4,492.170075,208.0713443,1.572327,0.016061249,0.095803113,0.978260863,9.20636668,1230084,2382
30,"370010207012","North Carolina","Alamance County","Piedmont",1445,10.2422145,40.0694444,0,0,18.3881064,3.0449827,35.7093426,18.2564103,7.884666575,60.64487,0.235685562,40,0.4,449.2332456,132.1076434,25.9259259,0.016457467,0.116281858,0.706756307,15.47760178,1540118,0
