"CNTY_ID","CNTY_NAME","NC_REGION","ACSTOTPOP","PEOPCOLORPCT","LOWINCPCT","UNEMPPCT","LINGISOPCT","LESSHSPCT","UNDER5PCT","OVER64PCT","LIFEEXPPCT","PM25","OZONE","DSLPM","CANCER","RESP","RSEI_AIR","PTRAF","PRE1960PCT","PNPL","PRMP","PTSDF","UST","AREALAND","AREAWATER"
1,"Alamance County","Piedmont",165918,39.0081584364486,36.3883394570093,5.57786175607477,2.42805237570093,14.2614694915888,5.33588479065421,17.8816298271028,20.5808770728972,7.86951844909346,60.4736508411215,0.174078613084112,30.6542056074766,0.358878504672897,329.260038771963,79.5814385855047,26.2704172439252,0.0184642949626168,0.212122983915888,0.360344821102804,8.48250674763551,1088695902,27879028
2,"Alexander County","Piedmont",36491,15.217635248,36.058442432,3.815951252,0.235617636,14.413594296,5.446379828,21.250089276,20.873846144,8.0931699946,60.6858892,0.10255614136,27.6,0.3,2024.897148012,8.95641,16.82290374,0.03814158804,0.09585539044,0.15509890792,0.60028557988,673358184,9445988
3,"Alleghany County","Mountains",10910,13.0664283,46.8582271363636,4.42007605454546,1.32409732727273,20.4182843272727,3.77908401818182,28.4205172727273,19.1048951,6.73204433363636,57.5683918181818,0.0567744107272727,20,0.2,19.5825270681818,0.563297168545455,14.3500533909091,0.0496987149090909,0.0428564257272727,0.0422433452727273,0.693610812818182,608220280,3687222
4,"Anson County","Piedmont",22388,54.489861285,44.619617375,6.64086143,0.60962636,16.06066751,5.092957335,19.156436735,22.94871794,8.08854545205,61.2136575,0.1059618067,30,0.4,218.429771856,29.0296110542,27.06351887,0.0444066972,0.1501931618,0.0605445633,1.33415917385,1376478143,14603213
5,"Ashe County","Mountains",26598,7.80926620384615,39.6441161576923,4.85162796153846,1.48557570769231,12.9277097961538,3.41070197307692,27.1376176538462,19.8658777153846,6.41033960919231,57.6968046153846,0.0567429468076923,20,0.2,5.68799204884615,0.574707993115385,17.5343867692308,0.0875244242307692,0.0268254475,0.252388357730769,0.907781666038462,1104018852,8062960
6,"Avery County","Mountains",17747,9.7908681625,40.60426779375,5.41238864375,0.65582235625,13.130004375,3.79803403125,23.42146784375,19.0192307625,6.1755449674375,57.95608125,0.0483912389375,20,0.2,599.76157835625,4.253522044,20.27057475,0.0164138839375,0.025601460375,0.0465163854375,0.7616075290625,640602137,445285
7,"Beaufort County","Coastal Plain",40336,31.0847484529412,35.4441577882353,7.16041966176471,1.22752389411765,12.53714135,4.71677892058824,24.65215365,22.7601809941176,6.34616183732353,59.3991738970588,0.0892645214705882,20,0.273529411764706,1633.74916234118,37.3356002453529,22.7485537441176,0.170465452558824,0.0472671667647059,0.0318034288529412,1.60173973226471,1920005546,228137440
8,"Bertie County","Coastal Plain",15489,59.19940864375,42.18732720625,7.816541875,0,19.64068090625,3.14918918125,26.906647575,19.96153846875,6.7175261641875,58.068610625,0.071208402875,20,0.3,890.33665830625,5.98300141675,21.74900951875,0.01741382275,0.038148898375,0.0562173720625,0.9532730265,1557689498,70810313
9,"Bladen County","Coastal Plain",30105,47.0405058533333,49.3399348366667,6.42958669333333,1.72563389333333,16.01212486,5.36654055,23.8645998,20.90256411,6.58149144293333,59.7706116666667,0.0783947420333333,24.3333333333333,0.3,102.769436567,2.09508983473333,18.5931112733333,0.0252695210333333,0.185225106233333,0.1620720881,0.8038194345,2266321541,33022256
10,"Brunswick County","Coastal Plain",115434,16.633851669,27.945743329,5.969458203,0.614115837,8.191171875,3.389826474,33.616996935,20.210256422,5.69971169733,59.4653505,0.09698999683,20.5,0.273,645.8441601543,18.14583659024,4.313563433,0.07506445067,0.12405602903,0.16456390527,1.25973732684,1990623827,71910265
11,"Buncombe County","Mountains",248054,16.8990560608974,31.2995334679487,3.18604834230769,1.97326576282051,7.98050939615385,4.45396814038462,20.7725700685897,19.9815910621795,6.55630130134615,58.941591025641,0.154354488608974,24.4230769230769,0.280128205128205,539.321193444167,105.925850322308,25.4703537358974,0.155676933108974,0.214073155833333,0.604582344275641,3.53548156976282,1507501016,8238164
12,"Burke County","Mountains",82041,19.0490019482759,39.7522513931034,6.53707293103448,2.18133387068966,17.6252258637931,4.47446807068965,20.8425970017241,21.0044208758621,7.53624189608621,59.4414032758621,0.136781666189655,29.3103448275862,0.353448275862069,2179.71040838103,41.5430596533103,21.7141062965517,0.0186559817413793,0.399333308689655,0.207156817931034,2.22664432205172,1281979637,19362605
13,"Cabarrus County","Piedmont",221200,35.8989782616667,27.4869773766667,5.45216920333333,1.60375104666667,10.2920785808333,5.85431122916667,14.4257823883333,20.4529914475,9.04482571455,66.3550199166667,0.235555289658333,30,0.393333333333333,3293.9213331,63.77336436775,20.9195467066667,0.200037131108333,0.371432438258333,0.247652879308333,2.70560622506667,935587398,6985702
14,"Caldwell County","Mountains",75245,11.6778766035088,38.8009053263158,5.2853889122807,0.87914797368421,18.7394498315789,4.99565498947368,21.1979765210526,22.2672064824561,7.47796515640351,58.9343666666667,0.115709828315789,28.0701754385965,0.331578947368421,2184.49826975965,27.655529468386,20.5004225192982,0.0203316970526316,0.532321106157895,0.751564282982456,2.02722868252632,1214014174,7052759
15,"Camden County","Coastal Plain",10353,20.06899756,30.20862208,5.94060122,0.94630892,11.01950274,4.08279008,17.83292196,17.025641,6.3013036164,57.379922,0.0739505058,20,0.2,9.227738078,5.3424825528,18.44409994,0.0199293758,0.1302630256,0.1229361994,0.4196402494,622438924,76671345
